"date","ID_1","NAME_1","t2m"
"2022-01-01",1,"Adjumani",24.01
"2022-01-01",2,"Apac",22.14
"2022-01-01",3,"Arua",22.56
"2022-01-01",4,"Bugiri",20.63
"2022-01-01",5,"Bundibugyo",19.12
"2022-01-01",6,"Bushenyi",18.1
"2022-01-01",7,"Busia",20.23
"2022-01-01",8,"Gulu",22.93
"2022-01-01",9,"Hoima",21.51
"2022-01-01",10,"Iganga",20.64
"2022-01-01",11,"Jinja",20.93
"2022-01-01",12,"Kabale",15.11
"2022-01-01",13,"Kabarole",16.74
"2022-01-01",14,"Kaberamaido",22.62
"2022-01-01",15,"Kalangala",23.45
"2022-01-01",16,"Kampala",21.46
"2022-01-01",17,"Kamuli",21.74
"2022-01-01",18,"Kamwenge",18.31
"2022-01-01",19,"Kanungu",17.57
"2022-01-01",20,"Kapchorwa",17.37
"2022-01-01",21,"Kasese",17.31
"2022-01-01",22,"Katakwi",22.1
"2022-01-01",23,"Kayunga",21.19
"2022-01-01",24,"Kibale",19.56
"2022-01-01",25,"Kiboga",20.15
"2022-01-01",26,"Kisoro",14.94
"2022-01-01",27,"Kitgum",22.41
"2022-01-01",28,"Kotido",21.11
"2022-01-01",29,"Kumi",21.56
"2022-01-01",30,"Kyenjojo",18.7
"2022-01-01",31,"Lake Albert",24.38
"2022-01-01",32,"Lake Victoria",22.55
"2022-01-01",33,"Lira",22.67
"2022-01-01",34,"Luwero",20.72
"2022-01-01",35,"Masaka",20.05
"2022-01-01",36,"Masindi",21.94
"2022-01-01",37,"Mayuge",20.79
"2022-01-01",38,"Mbale",16.72
"2022-01-01",39,"Mbarara",18.4
"2022-01-01",40,"Moroto",21.54
"2022-01-01",41,"Moyo",24.68
"2022-01-01",42,"Mpigi",20.55
"2022-01-01",43,"Mubende",19.53
"2022-01-01",44,"Mukono",21.37
"2022-01-01",45,"Nakapiripirit",21.73
"2022-01-01",46,"Nakasongola",21.72
"2022-01-01",47,"Nebbi",21.72
"2022-01-01",48,"Ntungamo",17
"2022-01-01",49,"Pader",22.75
"2022-01-01",50,"Pallisa",21.22
"2022-01-01",51,"Rakai",19.38
"2022-01-01",52,"Rukungiri",18.48
"2022-01-01",53,"Sembabule",19.5
"2022-01-01",54,"Sironko",18
"2022-01-01",55,"Soroti",22.49
"2022-01-01",56,"Tororo",20.43
"2022-01-01",57,"Wakiso",20.94
"2022-01-01",58,"Yumbe",23.96
"2022-01-02",1,"Adjumani",23.27
"2022-01-02",2,"Apac",20.54
"2022-01-02",3,"Arua",21.31
"2022-01-02",4,"Bugiri",19.7
"2022-01-02",5,"Bundibugyo",18.63
"2022-01-02",6,"Bushenyi",17.06
"2022-01-02",7,"Busia",18.95
"2022-01-02",8,"Gulu",21.84
"2022-01-02",9,"Hoima",20.31
"2022-01-02",10,"Iganga",18.54
"2022-01-02",11,"Jinja",19.25
"2022-01-02",12,"Kabale",13.51
"2022-01-02",13,"Kabarole",16.25
"2022-01-02",14,"Kaberamaido",21.07
"2022-01-02",15,"Kalangala",23.35
"2022-01-02",16,"Kampala",20.24
"2022-01-02",17,"Kamuli",19.4
"2022-01-02",18,"Kamwenge",18.1
"2022-01-02",19,"Kanungu",16.19
"2022-01-02",20,"Kapchorwa",14.81
"2022-01-02",21,"Kasese",17.41
"2022-01-02",22,"Katakwi",19.71
"2022-01-02",23,"Kayunga",18.41
"2022-01-02",24,"Kibale",18.05
"2022-01-02",25,"Kiboga",18.64
"2022-01-02",26,"Kisoro",13.28
"2022-01-02",27,"Kitgum",20.66
"2022-01-02",28,"Kotido",18.49
"2022-01-02",29,"Kumi",19.27
"2022-01-02",30,"Kyenjojo",17.09
"2022-01-02",31,"Lake Albert",24.59
"2022-01-02",32,"Lake Victoria",23.15
"2022-01-02",33,"Lira",20.89
"2022-01-02",34,"Luwero",17.91
"2022-01-02",35,"Masaka",17.81
"2022-01-02",36,"Masindi",20.58
"2022-01-02",37,"Mayuge",20.21
"2022-01-02",38,"Mbale",13.88
"2022-01-02",39,"Mbarara",16.95
"2022-01-02",40,"Moroto",18.88
"2022-01-02",41,"Moyo",23.7
"2022-01-02",42,"Mpigi",17.99
"2022-01-02",43,"Mubende",17.02
"2022-01-02",44,"Mukono",19.59
"2022-01-02",45,"Nakapiripirit",18.77
"2022-01-02",46,"Nakasongola",19.66
"2022-01-02",47,"Nebbi",20.6
"2022-01-02",48,"Ntungamo",16.75
"2022-01-02",49,"Pader",20.68
"2022-01-02",50,"Pallisa",18.87
"2022-01-02",51,"Rakai",16.85
"2022-01-02",52,"Rukungiri",16.87
"2022-01-02",53,"Sembabule",16.84
"2022-01-02",54,"Sironko",15.65
"2022-01-02",55,"Soroti",20.66
"2022-01-02",56,"Tororo",18.12
"2022-01-02",57,"Wakiso",18.86
"2022-01-02",58,"Yumbe",22.51
"2022-01-03",1,"Adjumani",25.01
"2022-01-03",2,"Apac",21.51
"2022-01-03",3,"Arua",22.74
"2022-01-03",4,"Bugiri",20.52
"2022-01-03",5,"Bundibugyo",20.43
