"date","ID_1","NAME_1","t2m"
"2022-01-01",1,"Ashanti",25.86
"2022-01-01",2,"Brong Ahafo",25.68
"2022-01-01",3,"Central",25.76
"2022-01-01",4,"Eastern",26.18
"2022-01-01",5,"Greater Accra",27.33
"2022-01-01",6,"Northern",23.79
"2022-01-01",7,"Upper East",24.13
"2022-01-01",8,"Upper West",23.21
"2022-01-01",9,"Volta",26.56
"2022-01-01",10,"Western",24.63
"2022-01-02",1,"Ashanti",26.42
"2022-01-02",2,"Brong Ahafo",26.02
"2022-01-02",3,"Central",25.6
"2022-01-02",4,"Eastern",26.26
"2022-01-02",5,"Greater Accra",27.19
"2022-01-02",6,"Northern",24.27
"2022-01-02",7,"Upper East",24.54
"2022-01-02",8,"Upper West",23.54
"2022-01-02",9,"Volta",26.84
"2022-01-02",10,"Western",24.83
"2022-01-03",1,"Ashanti",25.89
"2022-01-03",2,"Brong Ahafo",25.66
"2022-01-03",3,"Central",25.63
"2022-01-03",4,"Eastern",26.52
"2022-01-03",5,"Greater Accra",27.52
"2022-01-03",6,"Northern",25.1
"2022-01-03",7,"Upper East",25.71
"2022-01-03",8,"Upper West",24.9
"2022-01-03",9,"Volta",26.84
"2022-01-03",10,"Western",24.82
"2022-01-04",1,"Ashanti",25.77
"2022-01-04",2,"Brong Ahafo",25.54
"2022-01-04",3,"Central",25.9
"2022-01-04",4,"Eastern",26.77
"2022-01-04",5,"Greater Accra",27.5
"2022-01-04",6,"Northern",25.72
"2022-01-04",7,"Upper East",25.1
"2022-01-04",8,"Upper West",24.5
"2022-01-04",9,"Volta",26.35
"2022-01-04",10,"Western",25.27
"2022-01-05",1,"Ashanti",24.97
"2022-01-05",2,"Brong Ahafo",25.92
"2022-01-05",3,"Central",24.35
"2022-01-05",4,"Eastern",24.99
"2022-01-05",5,"Greater Accra",26.3
"2022-01-05",6,"Northern",25.79
"2022-01-05",7,"Upper East",23.94
"2022-01-05",8,"Upper West",23.27
"2022-01-05",9,"Volta",25.67
"2022-01-05",10,"Western",24.22
"2022-01-06",1,"Ashanti",26.32
"2022-01-06",2,"Brong Ahafo",25.31
"2022-01-06",3,"Central",25.29
"2022-01-06",4,"Eastern",26.16
"2022-01-06",5,"Greater Accra",26.78
"2022-01-06",6,"Northern",24.72
"2022-01-06",7,"Upper East",24.23
"2022-01-06",8,"Upper West",23.24
"2022-01-06",9,"Volta",26.79
"2022-01-06",10,"Western",24.47
"2022-01-07",1,"Ashanti",26.76
"2022-01-07",2,"Brong Ahafo",26.43
"2022-01-07",3,"Central",25.73
"2022-01-07",4,"Eastern",26.71
"2022-01-07",5,"Greater Accra",27.34
"2022-01-07",6,"Northern",25.33
"2022-01-07",7,"Upper East",24.17
"2022-01-07",8,"Upper West",23.36
"2022-01-07",9,"Volta",27.04
"2022-01-07",10,"Western",25.05
"2022-01-08",1,"Ashanti",26.22
"2022-01-08",2,"Brong Ahafo",25.51
"2022-01-08",3,"Central",25.45
"2022-01-08",4,"Eastern",26.5
"2022-01-08",5,"Greater Accra",27.42
"2022-01-08",6,"Northern",24.63
"2022-01-08",7,"Upper East",23.98
"2022-01-08",8,"Upper West",22.82
"2022-01-08",9,"Volta",26.79
