"","date","ID_0","NAME_0","t2m"
"1","2020-01-01",1,"France",1.91
"2","2020-01-02",1,"France",3.51
"3","2020-01-03",1,"France",5.5
"4","2020-01-04",1,"France",6.19
"5","2020-01-05",1,"France",3.55
"6","2020-01-06",1,"France",1.22
"7","2020-01-07",1,"France",4.21
"8","2020-01-08",1,"France",7.01
"9","2020-01-09",1,"France",7.89
"10","2020-01-10",1,"France",8.02
"11","2020-01-11",1,"France",4.07
"12","2020-01-12",1,"France",1.98
"13","2020-01-13",1,"France",3.99
"14","2020-01-14",1,"France",5.94
"15","2020-01-15",1,"France",7.82
"16","2020-01-16",1,"France",6.23
"17","2020-01-17",1,"France",7.94
"18","2020-01-18",1,"France",3.73
"19","2020-01-19",1,"France",1.74
"20","2020-01-20",1,"France",1.69
"21","2020-01-21",1,"France",0.98
"22","2020-01-22",1,"France",0.85
"23","2020-01-23",1,"France",2.38
"24","2020-01-24",1,"France",2.37
"25","2020-01-25",1,"France",2.37
"26","2020-01-26",1,"France",3.97
"27","2020-01-27",1,"France",5.96
"28","2020-01-28",1,"France",7.02
"29","2020-01-29",1,"France",5.47
"30","2020-01-30",1,"France",5.12
"31","2020-01-31",1,"France",10.16
"32","2020-02-01",1,"France",9.99
"33","2020-02-02",1,"France",10.02
"34","2020-02-03",1,"France",11.46
"35","2020-02-04",1,"France",9.29
"36","2020-02-05",1,"France",4.72
"37","2020-02-06",1,"France",1.55
"38","2020-02-07",1,"France",1.75
"39","2020-02-08",1,"France",5.07
"40","2020-02-09",1,"France",6.06
"41","2020-02-10",1,"France",10.97
"42","2020-02-11",1,"France",8.94
"43","2020-02-12",1,"France",4.69
"44","2020-02-13",1,"France",3.63
"45","2020-02-14",1,"France",7.85
"46","2020-02-15",1,"France",5.01
"47","2020-02-16",1,"France",9.96
"48","2020-02-17",1,"France",9.72
"49","2020-02-18",1,"France",5.43
"50","2020-02-19",1,"France",5.71
"51","2020-02-20",1,"France",5.25
"52","2020-02-21",1,"France",4.96
"53","2020-02-22",1,"France",3.19
"54","2020-02-23",1,"France",6.92
"55","2020-02-24",1,"France",8.32
"56","2020-02-25",1,"France",7.93
"57","2020-02-26",1,"France",5.2
"58","2020-02-27",1,"France",3.39
"59","2020-02-28",1,"France",3.44
"60","2020-02-29",1,"France",8.38
"61","2020-03-01",1,"France",6.88
"62","2020-03-02",1,"France",6.05
"63","2020-03-03",1,"France",3.84
"64","2020-03-04",1,"France",3.4
"65","2020-03-05",1,"France",8.03
"66","2020-03-06",1,"France",5.61
"67","2020-03-07",1,"France",4.12
"68","2020-03-08",1,"France",5.56
"69","2020-03-09",1,"France",6.56
"70","2020-03-10",1,"France",6.18
"71","2020-03-11",1,"France",10.04
"72","2020-03-12",1,"France",9.76
"73","2020-03-13",1,"France",7.18
"74","2020-03-14",1,"France",4.51
"75","2020-03-15",1,"France",5.58
"76","2020-03-16",1,"France",7.91
"77","2020-03-17",1,"France",7.84
"78","2020-03-18",1,"France",7.42
"79","2020-03-19",1,"France",7.69
"80","2020-03-20",1,"France",9.27
"81","2020-03-21",1,"France",7.9
"82","2020-03-22",1,"France",6.73
"83","2020-03-23",1,"France",6
"84","2020-03-24",1,"France",4.9
"85","2020-03-25",1,"France",3.19
"86","2020-03-26",1,"France",2.99
"87","2020-03-27",1,"France",2.65
"88","2020-03-28",1,"France",4.77
"89","2020-03-29",1,"France",7.25
"90","2020-03-30",1,"France",3.02
"91","2020-03-31",1,"France",2.47
"92","2020-04-01",1,"France",3.78
"93","2020-04-02",1,"France",3.29
"94","2020-04-03",1,"France",4.37
"95","2020-04-04",1,"France",4.37
"96","2020-04-05",1,"France",7.1
"97","2020-04-06",1,"France",10.12
"98","2020-04-07",1,"France",8.92
"99","2020-04-08",1,"France",10.42
"100","2020-04-09",1,"France",9.36
"101","2020-04-10",1,"France",10.63
"102","2020-04-11",1,"France",10.62
"103","2020-04-12",1,"France",10.39
"104","2020-04-13",1,"France",11.15
"105","2020-04-14",1,"France",8.26
"106","2020-04-15",1,"France",6.54
"107","2020-04-16",1,"France",10.46
"108","2020-04-17",1,"France",11.77
"109","2020-04-18",1,"France",12.22
"110","2020-04-19",1,"France",11.59
"111","2020-04-20",1,"France",12.24
"112","2020-04-21",1,"France",12.43
"113","2020-04-22",1,"France",11.52
"114","2020-04-23",1,"France",11.1
"115","2020-04-24",1,"France",10.94
"116","2020-04-25",1,"France",12.26
"117","2020-04-26",1,"France",10.86
"118","2020-04-27",1,"France",10.31
"119","2020-04-28",1,"France",12.12
"120","2020-04-29",1,"France",9.86
"121","2020-04-30",1,"France",10.68
"122","2020-05-01",1,"France",9.75
"123","2020-05-02",1,"France",10.63
"124","2020-05-03",1,"France",11.15
"125","2020-05-04",1,"France",11.76
"126","2020-05-05",1,"France",14.09
"127","2020-05-06",1,"France",11.61
"128","2020-05-07",1,"France",10.64
"129","2020-05-08",1,"France",12.64
"130","2020-05-09",1,"France",14.32
"131","2020-05-10",1,"France",14.88
"132","2020-05-11",1,"France",12.83
"133","2020-05-12",1,"France",6.91
"134","2020-05-13",1,"France",8.42
"135","2020-05-14",1,"France",9.15
"136","2020-05-15",1,"France",9.5
"137","2020-05-16",1,"France",9.2
"138","2020-05-17",1,"France",9.77
"139","2020-05-18",1,"France",10.21
"140","2020-05-19",1,"France",12.12
"141","2020-05-20",1,"France",13.05
"142","2020-05-21",1,"France",14.97
"143","2020-05-22",1,"France",15.73
"144","2020-05-23",1,"France",15.79
"145","2020-05-24",1,"France",9.82
"146","2020-05-25",1,"France",11.24
"147","2020-05-26",1,"France",13.12
"148","2020-05-27",1,"France",13.93
"149","2020-05-28",1,"France",13.63
"150","2020-05-29",1,"France",14.27
"151","2020-06-01",1,"France",14.03
"152","2020-06-02",1,"France",14.23
"153","2020-06-03",1,"France",15.04
"154","2020-06-04",1,"France",14.32
"155","2020-06-05",1,"France",11.73
"156","2020-06-06",1,"France",12.73
"157","2020-06-07",1,"France",11.21
"158","2020-06-08",1,"France",10.73
"159","2020-06-09",1,"France",11.02
"160","2020-06-10",1,"France",10.94
"161","2020-06-11",1,"France",11.62
"162","2020-06-12",1,"France",12.94
"163","2020-06-13",1,"France",12.81
"164","2020-06-14",1,"France",12.94
"165","2020-06-15",1,"France",13.26
"166","2020-06-16",1,"France",13.7
"167","2020-06-17",1,"France",13.13
"168","2020-06-18",1,"France",12.28
"169","2020-06-19",1,"France",12.13
"170","2020-06-20",1,"France",13.01
"171","2020-06-21",1,"France",13.85
"172","2020-06-22",1,"France",15.13
"173","2020-06-23",1,"France",14.81
"174","2020-06-24",1,"France",17.83
"175","2020-06-25",1,"France",19.16
"176","2020-06-26",1,"France",19.55
"177","2020-06-27",1,"France",17.74
"178","2020-06-28",1,"France",17.54
"179","2020-06-29",1,"France",16.13
"180","2020-06-30",1,"France",14.13
"181","2020-07-01",1,"France",17.02
"182","2020-07-02",1,"France",17.14
"183","2020-07-03",1,"France",14.37
"184","2020-07-04",1,"France",13.61
"185","2020-07-05",1,"France",17.13
"186","2020-07-06",1,"France",16.89
"187","2020-07-07",1,"France",12.66
"188","2020-07-08",1,"France",13.96
"189","2020-07-09",1,"France",16.25
"190","2020-07-10",1,"France",18.56
"191","2020-07-11",1,"France",15.24
"192","2020-07-12",1,"France",14.34
"193","2020-07-13",1,"France",15.7
"194","2020-07-14",1,"France",15.64
"195","2020-07-15",1,"France",16.11
"196","2020-07-16",1,"France",15.45
"197","2020-07-17",1,"France",16.05
"198","2020-07-18",1,"France",15.55
"199","2020-07-19",1,"France",15.85
"200","2020-07-20",1,"France",17.02
"201","2020-07-21",1,"France",17.98
"202","2020-07-22",1,"France",18.08
"203","2020-07-23",1,"France",16.97
"204","2020-07-24",1,"France",18.17
"205","2020-07-25",1,"France",16.43
"206","2020-07-26",1,"France",17.99
"207","2020-07-27",1,"France",16.03
"208","2020-07-28",1,"France",20.18
"209","2020-07-29",1,"France",16.26
"210","2020-07-30",1,"France",17.18
"211","2020-07-31",1,"France",21.94
"212","2020-08-01",1,"France",21.38
"213","2020-08-02",1,"France",18.79
"214","2020-08-03",1,"France",16.37
"215","2020-08-04",1,"France",13.86
"216","2020-08-05",1,"France",13.79
"217","2020-08-06",1,"France",16.09
"218","2020-08-07",1,"France",19.23
"219","2020-08-08",1,"France",21.16
"220","2020-08-09",1,"France",21.76
"221","2020-08-10",1,"France",21.67
"222","2020-08-11",1,"France",21.43
"223","2020-08-12",1,"France",21.88
"224","2020-08-13",1,"France",19.78
"225","2020-08-14",1,"France",18.73
"226","2020-08-15",1,"France",17.17
"227","2020-08-16",1,"France",18.4
"228","2020-08-17",1,"France",16.39
"229","2020-08-18",1,"France",16.91
"230","2020-08-19",1,"France",17.07
"231","2020-08-20",1,"France",20.1
"232","2020-08-21",1,"France",21.94
"233","2020-08-22",1,"France",18.62
"234","2020-08-23",1,"France",17.11
"235","2020-08-24",1,"France",14.79
"236","2020-08-25",1,"France",14.43
"237","2020-08-26",1,"France",18.73
"238","2020-08-27",1,"France",14.81
"239","2020-08-28",1,"France",17.86
"240","2020-08-29",1,"France",13.6
"241","2020-08-30",1,"France",13.2
"242","2020-08-31",1,"France",12.57
"243","2020-09-01",1,"France",11.85
"244","2020-09-02",1,"France",11.97
"245","2020-09-03",1,"France",13.02
"246","2020-09-04",1,"France",15.3
"247","2020-09-05",1,"France",16.43
"248","2020-09-06",1,"France",13.71
"249","2020-09-07",1,"France",11.98
"250","2020-09-08",1,"France",12.74
"251","2020-09-09",1,"France",14.48
"252","2020-09-10",1,"France",16.66
"253","2020-09-11",1,"France",16.02
"254","2020-09-12",1,"France",14.45
"255","2020-09-13",1,"France",14.39
"256","2020-09-14",1,"France",16.95
"257","2020-09-15",1,"France",18.97
"258","2020-09-16",1,"France",18
"259","2020-09-17",1,"France",17.91
"260","2020-09-18",1,"France",17.49
"261","2020-09-19",1,"France",19.11
"262","2020-09-20",1,"France",16.7
"263","2020-09-21",1,"France",15.67
"264","2020-09-22",1,"France",14.93
"265","2020-09-23",1,"France",15.12
"266","2020-09-24",1,"France",14.72
"267","2020-09-25",1,"France",11.19
"268","2020-09-26",1,"France",8.74
