"","date","ID_1","NAME_1","t2m"
"1","2021-01-01",1,"Aegean",16.33
"2","2021-01-01",2,"Athos",14.3
"3","2021-01-01",3,"Attica",12.04
"4","2021-01-01",4,"Crete",12.58
"5","2021-01-01",5,"Epirus and Western Macedonia",3.22
"6","2021-01-01",6,"Macedonia and Thrace",6.77
"7","2021-01-01",7,"Peloponnese, Western Greece and the Ionian Islands",8.19
"8","2021-01-01",8,"Thessaly and Central Greece",6.84
"9","2021-01-02",1,"Aegean",15.26
"10","2021-01-02",2,"Athos",12.89
"11","2021-01-02",3,"Attica",9.31
"12","2021-01-02",4,"Crete",12.61
"13","2021-01-02",5,"Epirus and Western Macedonia",0.6
"14","2021-01-02",6,"Macedonia and Thrace",3.06
"15","2021-01-02",7,"Peloponnese, Western Greece and the Ionian Islands",5.47
"16","2021-01-02",8,"Thessaly and Central Greece",3.72
"17","2021-01-03",1,"Aegean",16.13
"18","2021-01-03",2,"Athos",15.51
"19","2021-01-03",3,"Attica",14.05
"20","2021-01-03",4,"Crete",13.9
"21","2021-01-03",5,"Epirus and Western Macedonia",5.94
"22","2021-01-03",6,"Macedonia and Thrace",8.75
"23","2021-01-03",7,"Peloponnese, Western Greece and the Ionian Islands",11.59
"24","2021-01-03",8,"Thessaly and Central Greece",9.57
"25","2021-01-04",1,"Aegean",16.65
"26","2021-01-04",2,"Athos",15.65
"27","2021-01-04",3,"Attica",13.78
"28","2021-01-04",4,"Crete",14.77
"29","2021-01-04",5,"Epirus and Western Macedonia",6.76
"30","2021-01-04",6,"Macedonia and Thrace",9.54
"31","2021-01-04",7,"Peloponnese, Western Greece and the Ionian Islands",11.86
"32","2021-01-04",8,"Thessaly and Central Greece",9.58
"33","2021-01-05",1,"Aegean",16.05
"34","2021-01-05",2,"Athos",13.25
"35","2021-01-05",3,"Attica",11.19
"36","2021-01-05",4,"Crete",13.29
"37","2021-01-05",5,"Epirus and Western Macedonia",3.65
"38","2021-01-05",6,"Macedonia and Thrace",8.3
"39","2021-01-05",7,"Peloponnese, Western Greece and the Ionian Islands",8.92
"40","2021-01-05",8,"Thessaly and Central Greece",6.67
"41","2021-01-06",1,"Aegean",14.82
"42","2021-01-06",2,"Athos",14.27
"43","2021-01-06",3,"Attica",9.71
"44","2021-01-06",4,"Crete",10.26
"45","2021-01-06",5,"Epirus and Western Macedonia",4.4
"46","2021-01-06",6,"Macedonia and Thrace",5.1
"47","2021-01-06",7,"Peloponnese, Western Greece and the Ionian Islands",7.28
"48","2021-01-06",8,"Thessaly and Central Greece",6.17
"49","2021-01-07",1,"Aegean",15.94
"50","2021-01-07",2,"Athos",15.4
"51","2021-01-07",3,"Attica",11.68
"52","2021-01-07",4,"Crete",11.86
"53","2021-01-07",5,"Epirus and Western Macedonia",6.86
"54","2021-01-07",6,"Macedonia and Thrace",8.93
"55","2021-01-07",7,"Peloponnese, Western Greece and the Ionian Islands",9.76
"56","2021-01-07",8,"Thessaly and Central Greece",8.2
"57","2021-01-08",1,"Aegean",16.32
"58","2021-01-08",2,"Athos",15.91
"59","2021-01-08",3,"Attica",12.14
"60","2021-01-08",4,"Crete",12.28
"61","2021-01-08",5,"Epirus and Western Macedonia",8.81
"62","2021-01-08",6,"Macedonia and Thrace",10.53
"63","2021-01-08",7,"Peloponnese, Western Greece and the Ionian Islands",10.95
"64","2021-01-08",8,"Thessaly and Central Greece",9.7
"65","2021-01-09",1,"Aegean",17.34
"66","2021-01-09",2,"Athos",16.33
"67","2021-01-09",3,"Attica",16.03
"68","2021-01-09",4,"Crete",14.62
"69","2021-01-09",5,"Epirus and Western Macedonia",11.37
"70","2021-01-09",6,"Macedonia and Thrace",13.33
"71","2021-01-09",7,"Peloponnese, Western Greece and the Ionian Islands",14.76
"72","2021-01-09",8,"Thessaly and Central Greece",13.63
"73","2021-01-10",1,"Aegean",17.39
"74","2021-01-10",2,"Athos",10.81
"75","2021-01-10",3,"Attica",15.47
"76","2021-01-10",4,"Crete",17.5
"77","2021-01-10",5,"Epirus and Western Macedonia",9.26
"78","2021-01-10",6,"Macedonia and Thrace",7.03
"79","2021-01-10",7,"Peloponnese, Western Greece and the Ionian Islands",14.16
"80","2021-01-10",8,"Thessaly and Central Greece",11.62
"81","2021-01-11",1,"Aegean",18.24
"82","2021-01-11",2,"Athos",13.19
"83","2021-01-11",3,"Attica",16.65
"84","2021-01-11",4,"Crete",18.3
"85","2021-01-11",5,"Epirus and Western Macedonia",11.43
"86","2021-01-11",6,"Macedonia and Thrace",8.65
"87","2021-01-11",7,"Peloponnese, Western Greece and the Ionian Islands",16.41
"88","2021-01-11",8,"Thessaly and Central Greece",12.87
"89","2021-01-12",1,"Aegean",18.35
"90","2021-01-12",2,"Athos",15.03
"91","2021-01-12",3,"Attica",17.32
"92","2021-01-12",4,"Crete",17.3
"93","2021-01-12",5,"Epirus and Western Macedonia",9.23
"94","2021-01-12",6,"Macedonia and Thrace",9.91
"95","2021-01-12",7,"Peloponnese, Western Greece and the Ionian Islands",15.14
"96","2021-01-12",8,"Thessaly and Central Greece",12.88
"97","2021-01-13",1,"Aegean",15.09
"98","2021-01-13",2,"Athos",10.3
"99","2021-01-13",3,"Attica",11.5
"100","2021-01-13",4,"Crete",13.95
"101","2021-01-13",5,"Epirus and Western Macedonia",3.08
"102","2021-01-13",6,"Macedonia and Thrace",4.28
"103","2021-01-13",7,"Peloponnese, Western Greece and the Ionian Islands",9.06
"104","2021-01-13",8,"Thessaly and Central Greece",6.8
"105","2021-01-14",1,"Aegean",11.11
"106","2021-01-14",2,"Athos",7.97
"107","2021-01-14",3,"Attica",8.83
"108","2021-01-14",4,"Crete",11.25
"109","2021-01-14",5,"Epirus and Western Macedonia",1.1
"110","2021-01-14",6,"Macedonia and Thrace",3.13
"111","2021-01-14",7,"Peloponnese, Western Greece and the Ionian Islands",6.39
"112","2021-01-14",8,"Thessaly and Central Greece",4.79
"113","2021-01-15",1,"Aegean",13
"114","2021-01-15",2,"Athos",6.56
"115","2021-01-15",3,"Attica",10.97
"116","2021-01-15",4,"Crete",10.59
"117","2021-01-15",5,"Epirus and Western Macedonia",1.19
"118","2021-01-15",6,"Macedonia and Thrace",2.22
"119","2021-01-15",7,"Peloponnese, Western Greece and the Ionian Islands",9.26
"120","2021-01-15",8,"Thessaly and Central Greece",4.92
"121","2021-01-16",1,"Aegean",10.17
"122","2021-01-16",2,"Athos",7.57
"123","2021-01-16",3,"Attica",8.32
"124","2021-01-16",4,"Crete",11.1
"125","2021-01-16",5,"Epirus and Western Macedonia",-1.99
"126","2021-01-16",6,"Macedonia and Thrace",-0.03
"127","2021-01-16",7,"Peloponnese, Western Greece and the Ionian Islands",6.13
"128","2021-01-16",8,"Thessaly and Central Greece",2.22
"129","2021-01-17",1,"Aegean",8.06
"130","2021-01-17",2,"Athos",2.89
"131","2021-01-17",3,"Attica",4.56
"132","2021-01-17",4,"Crete",9.22
"133","2021-01-17",5,"Epirus and Western Macedonia",-8
"134","2021-01-17",6,"Macedonia and Thrace",-3
"135","2021-01-17",7,"Peloponnese, Western Greece and the Ionian Islands",3.53
"136","2021-01-17",8,"Thessaly and Central Greece",-2.57
"137","2021-01-18",1,"Aegean",6.69
"138","2021-01-18",2,"Athos",2.85
"139","2021-01-18",3,"Attica",2.5
"140","2021-01-18",4,"Crete",6.57
"141","2021-01-18",5,"Epirus and Western Macedonia",-4.91
"142","2021-01-18",6,"Macedonia and Thrace",-4.32
"143","2021-01-18",7,"Peloponnese, Western Greece and the Ionian Islands",2.28
"144","2021-01-18",8,"Thessaly and Central Greece",-0.42
"145","2021-01-19",1,"Aegean",7.27
"146","2021-01-19",2,"Athos",3.94
"147","2021-01-19",3,"Attica",3.06
"148","2021-01-19",4,"Crete",6.94
"149","2021-01-19",5,"Epirus and Western Macedonia",-7.25
"150","2021-01-19",6,"Macedonia and Thrace",-5.14
"151","2021-01-19",7,"Peloponnese, Western Greece and the Ionian Islands",1.65
"152","2021-01-19",8,"Thessaly and Central Greece",-1.07
"153","2021-01-20",1,"Aegean",7.66
"154","2021-01-20",2,"Athos",6.3
"155","2021-01-20",3,"Attica",3.56
"156","2021-01-20",4,"Crete",7.38
"157","2021-01-20",5,"Epirus and Western Macedonia",-5.02
"158","2021-01-20",6,"Macedonia and Thrace",-3.03
"159","2021-01-20",7,"Peloponnese, Western Greece and the Ionian Islands",2.29
"160","2021-01-20",8,"Thessaly and Central Greece",-0.9
"161","2021-01-21",1,"Aegean",11.99
"162","2021-01-21",2,"Athos",9.76
"163","2021-01-21",3,"Attica",5.83
"164","2021-01-21",4,"Crete",9.92
"165","2021-01-21",5,"Epirus and Western Macedonia",0.72
"166","2021-01-21",6,"Macedonia and Thrace",0.6
"167","2021-01-21",7,"Peloponnese, Western Greece and the Ionian Islands",5.82
"168","2021-01-21",8,"Thessaly and Central Greece",2.85
"169","2021-01-22",1,"Aegean",14.49
"170","2021-01-22",2,"Athos",12.65
"171","2021-01-22",3,"Attica",9.63
"172","2021-01-22",4,"Crete",9.67
"173","2021-01-22",5,"Epirus and Western Macedonia",5.39
"174","2021-01-22",6,"Macedonia and Thrace",3.81
"175","2021-01-22",7,"Peloponnese, Western Greece and the Ionian Islands",8.15
"176","2021-01-22",8,"Thessaly and Central Greece",6.69
"177","2021-01-23",1,"Aegean",14.57
"178","2021-01-23",2,"Athos",14.67
"179","2021-01-23",3,"Attica",10.69
"180","2021-01-23",4,"Crete",10.8
"181","2021-01-23",5,"Epirus and Western Macedonia",6.56
"182","2021-01-23",6,"Macedonia and Thrace",6.85
"183","2021-01-23",7,"Peloponnese, Western Greece and the Ionian Islands",8.5
"184","2021-01-23",8,"Thessaly and Central Greece",7.4
"185","2021-01-24",1,"Aegean",14.87
"186","2021-01-24",2,"Athos",14.14
"187","2021-01-24",3,"Attica",11.82
"188","2021-01-24",4,"Crete",11.9
"189","2021-01-24",5,"Epirus and Western Macedonia",4.08
"190","2021-01-24",6,"Macedonia and Thrace",9.27
"191","2021-01-24",7,"Peloponnese, Western Greece and the Ionian Islands",8.65
"192","2021-01-24",8,"Thessaly and Central Greece",6.94
"193","2021-01-25",1,"Aegean",15.93
"194","2021-01-25",2,"Athos",13.97
"195","2021-01-25",3,"Attica",14.19
"196","2021-01-25",4,"Crete",13.99
"197","2021-01-25",5,"Epirus and Western Macedonia",6.43
"198","2021-01-25",6,"Macedonia and Thrace",11.02
"199","2021-01-25",7,"Peloponnese, Western Greece and the Ionian Islands",11.09
"200","2021-01-25",8,"Thessaly and Central Greece",10
"201","2021-01-26",1,"Aegean",16
"202","2021-01-26",2,"Athos",14.08
"203","2021-01-26",3,"Attica",11.4
"204","2021-01-26",4,"Crete",13.2
"205","2021-01-26",5,"Epirus and Western Macedonia",5.33
"206","2021-01-26",6,"Macedonia and Thrace",7.83
"207","2021-01-26",7,"Peloponnese, Western Greece and the Ionian Islands",9.76
"208","2021-01-26",8,"Thessaly and Central Greece",7.61
"209","2021-01-27",1,"Aegean",15.08
"210","2021-01-27",2,"Athos",7.38
"211","2021-01-27",3,"Attica",10.89
"212","2021-01-27",4,"Crete",12.51
"213","2021-01-27",5,"Epirus and Western Macedonia",-0.38
"214","2021-01-27",6,"Macedonia and Thrace",1.69
