"","date","ID_1","NAME_1","t2m"
"1","2021-01-01",1,"Kurzeme",-0.44
"2","2021-01-01",2,"Latgale",-0.93
"3","2021-01-01",3,"Riga",-0.31
"4","2021-01-01",4,"Vidzeme",-0.53
"5","2021-01-01",5,"Zemgale",-0.56
"6","2021-01-02",1,"Kurzeme",-1.56
"7","2021-01-02",2,"Latgale",-0.13
"8","2021-01-02",3,"Riga",-0.37
"9","2021-01-02",4,"Vidzeme",-0.23
"10","2021-01-02",5,"Zemgale",-0.77
"11","2021-01-03",1,"Kurzeme",-0.84
"12","2021-01-03",2,"Latgale",-1.09
"13","2021-01-03",3,"Riga",0.06
"14","2021-01-03",4,"Vidzeme",-1.19
"15","2021-01-03",5,"Zemgale",-0.15
"16","2021-01-04",1,"Kurzeme",-1.62
"17","2021-01-04",2,"Latgale",-4.66
"18","2021-01-04",3,"Riga",-1.16
"19","2021-01-04",4,"Vidzeme",-1.61
"20","2021-01-04",5,"Zemgale",-1.45
"21","2021-01-05",1,"Kurzeme",-0.85
"22","2021-01-05",2,"Latgale",-1.33
"23","2021-01-05",3,"Riga",-0.88
"24","2021-01-05",4,"Vidzeme",-1.71
"25","2021-01-05",5,"Zemgale",-0.77
"26","2021-01-06",1,"Kurzeme",0.4
"27","2021-01-06",2,"Latgale",0.16
"28","2021-01-06",3,"Riga",0.1
"29","2021-01-06",4,"Vidzeme",-1.06
"30","2021-01-06",5,"Zemgale",0.9
"31","2021-01-07",1,"Kurzeme",-1.07
"32","2021-01-07",2,"Latgale",-3.19
"33","2021-01-07",3,"Riga",-1.54
"34","2021-01-07",4,"Vidzeme",-3.01
"35","2021-01-07",5,"Zemgale",-1.23
"36","2021-01-08",1,"Kurzeme",-0.06
"37","2021-01-08",2,"Latgale",-2.93
"38","2021-01-08",3,"Riga",-1.36
"39","2021-01-08",4,"Vidzeme",-2.75
"40","2021-01-08",5,"Zemgale",-1.1
"41","2021-01-09",1,"Kurzeme",-1.61
"42","2021-01-09",2,"Latgale",-3.93
"43","2021-01-09",3,"Riga",-3.06
"44","2021-01-09",4,"Vidzeme",-4.72
"45","2021-01-09",5,"Zemgale",-2.83
"46","2021-01-10",1,"Kurzeme",-3.94
"47","2021-01-10",2,"Latgale",-8.33
"48","2021-01-10",3,"Riga",-5.62
"49","2021-01-10",4,"Vidzeme",-8.49
"50","2021-01-10",5,"Zemgale",-5.32
"51","2021-01-11",1,"Kurzeme",0.09
"52","2021-01-11",2,"Latgale",-7.58
"53","2021-01-11",3,"Riga",-2.87
"54","2021-01-11",4,"Vidzeme",-4.44
"55","2021-01-11",5,"Zemgale",-3.98
"56","2021-01-12",1,"Kurzeme",0.79
"57","2021-01-12",2,"Latgale",-1.83
"58","2021-01-12",3,"Riga",-0.32
"59","2021-01-12",4,"Vidzeme",-1.43
"60","2021-01-12",5,"Zemgale",-0.5
"61","2021-01-13",1,"Kurzeme",-1.11
"62","2021-01-13",2,"Latgale",-2
"63","2021-01-13",3,"Riga",-1.69
"64","2021-01-13",4,"Vidzeme",-2.26
"65","2021-01-13",5,"Zemgale",-1.6
"66","2021-01-14",1,"Kurzeme",-1.82
"67","2021-01-14",2,"Latgale",-5.18
"68","2021-01-14",3,"Riga",-3.75
"69","2021-01-14",4,"Vidzeme",-5.19
"70","2021-01-14",5,"Zemgale",-3.91
"71","2021-01-15",1,"Kurzeme",-4.85
"72","2021-01-15",2,"Latgale",-13.72
"73","2021-01-15",3,"Riga",-8.35
"74","2021-01-15",4,"Vidzeme",-12.79
"75","2021-01-15",5,"Zemgale",-8.73
"76","2021-01-16",1,"Kurzeme",-7.24
"77","2021-01-16",2,"Latgale",-17.4
"78","2021-01-16",3,"Riga",-13.07
