"date","ID_1","NAME_1","t2m"
"2021-01-01",1,"Drenthe",0.08
"2021-01-01",2,"Flevoland",1.61
"2021-01-01",3,"Friesland",2.52
"2021-01-01",4,"Gelderland",0.91
"2021-01-01",5,"Groningen",0.97
"2021-01-01",6,"IJsselmeer",2.92
"2021-01-01",7,"Limburg",1.82
"2021-01-01",8,"Noord-Brabant",1.17
"2021-01-01",9,"Noord-Holland",2.58
"2021-01-01",10,"Overijssel",0.53
"2021-01-01",11,"Utrecht",0.52
"2021-01-01",12,"Zeeland",1.05
"2021-01-01",13,"Zeeuwse meren",0.73
"2021-01-01",14,"Zuid-Holland",0.75
"2021-01-02",1,"Drenthe",3.17
"2021-01-02",2,"Flevoland",3.35
"2021-01-02",3,"Friesland",4.32
"2021-01-02",4,"Gelderland",2.9
"2021-01-02",5,"Groningen",3.27
"2021-01-02",6,"IJsselmeer",3.94
"2021-01-02",7,"Limburg",1.99
"2021-01-02",8,"Noord-Brabant",2.35
"2021-01-02",9,"Noord-Holland",4.49
"2021-01-02",10,"Overijssel",3.31
"2021-01-02",11,"Utrecht",2.6
"2021-01-02",12,"Zeeland",3.35
"2021-01-02",13,"Zeeuwse meren",3.65
"2021-01-02",14,"Zuid-Holland",3.41
"2021-01-03",1,"Drenthe",3.38
"2021-01-03",2,"Flevoland",3.53
"2021-01-03",3,"Friesland",3.26
"2021-01-03",4,"Gelderland",3.45
"2021-01-03",5,"Groningen",3
"2021-01-03",6,"IJsselmeer",3.49
"2021-01-03",7,"Limburg",2.63
"2021-01-03",8,"Noord-Brabant",3.1
"2021-01-03",9,"Noord-Holland",3.31
"2021-01-03",10,"Overijssel",3.55
"2021-01-03",11,"Utrecht",3
"2021-01-03",12,"Zeeland",2.35
"2021-01-03",13,"Zeeuwse meren",2.34
"2021-01-03",14,"Zuid-Holland",2.33
"2021-01-04",1,"Drenthe",3.26
"2021-01-04",2,"Flevoland",3.24
"2021-01-04",3,"Friesland",4.06
"2021-01-04",4,"Gelderland",2.57
"2021-01-04",5,"Groningen",3.8
"2021-01-04",6,"IJsselmeer",3.68
"2021-01-04",7,"Limburg",1.94
"2021-01-04",8,"Noord-Brabant",2.66
"2021-01-04",9,"Noord-Holland",4.01
"2021-01-04",10,"Overijssel",2.7
"2021-01-04",11,"Utrecht",2.94
"2021-01-04",12,"Zeeland",3.31
"2021-01-04",13,"Zeeuwse meren",3.34
"2021-01-04",14,"Zuid-Holland",3.35
"2021-01-05",1,"Drenthe",1.93
"2021-01-05",2,"Flevoland",2.31
"2021-01-05",3,"Friesland",2.93
"2021-01-05",4,"Gelderland",1.92
"2021-01-05",5,"Groningen",2.48
"2021-01-05",6,"IJsselmeer",2.91
"2021-01-05",7,"Limburg",1.68
"2021-01-05",8,"Noord-Brabant",2.16
"2021-01-05",9,"Noord-Holland",3.22
"2021-01-05",10,"Overijssel",1.83
"2021-01-05",11,"Utrecht",2.21
"2021-01-05",12,"Zeeland",2.38
"2021-01-05",13,"Zeeuwse meren",2.3
"2021-01-05",14,"Zuid-Holland",2.43
"2021-01-06",1,"Drenthe",1.83
"2021-01-06",2,"Flevoland",3.03
"2021-01-06",3,"Friesland",2.56
"2021-01-06",4,"Gelderland",3.23
"2021-01-06",5,"Groningen",2
"2021-01-06",6,"IJsselmeer",3.26
"2021-01-06",7,"Limburg",2.79
"2021-01-06",8,"Noord-Brabant",3.17
"2021-01-06",9,"Noord-Holland",3.56
"2021-01-06",10,"Overijssel",2.8
"2021-01-06",11,"Utrecht",3.32
"2021-01-06",12,"Zeeland",2.9
"2021-01-06",13,"Zeeuwse meren",3.19
"2021-01-06",14,"Zuid-Holland",3.38
"2021-01-07",1,"Drenthe",0.2
"2021-01-07",2,"Flevoland",1.36
"2021-01-07",3,"Friesland",1.6
"2021-01-07",4,"Gelderland",0.49
"2021-01-07",5,"Groningen",0.9
"2021-01-07",6,"IJsselmeer",2.27
"2021-01-07",7,"Limburg",0.68
"2021-01-07",8,"Noord-Brabant",1
"2021-01-07",9,"Noord-Holland",2.52
"2021-01-07",10,"Overijssel",0.28
"2021-01-07",11,"Utrecht",1.22
"2021-01-07",12,"Zeeland",2.25
"2021-01-07",13,"Zeeuwse meren",2.12
"2021-01-07",14,"Zuid-Holland",1.95
"2021-01-08",1,"Drenthe",0.52
"2021-01-08",2,"Flevoland",2.76
"2021-01-08",3,"Friesland",2.18
"2021-01-08",4,"Gelderland",2.05
"2021-01-08",5,"Groningen",1.37
"2021-01-08",6,"IJsselmeer",3.68
"2021-01-08",7,"Limburg",1.27
"2021-01-08",8,"Noord-Brabant",2.4
"2021-01-08",9,"Noord-Holland",3.94
"2021-01-08",10,"Overijssel",1.31
"2021-01-08",11,"Utrecht",3
"2021-01-08",12,"Zeeland",3.47
"2021-01-08",13,"Zeeuwse meren",3.72
"2021-01-08",14,"Zuid-Holland",3.75
"2021-01-09",1,"Drenthe",-0.68
"2021-01-09",2,"Flevoland",0.68
"2021-01-09",3,"Friesland",0.69
"2021-01-09",4,"Gelderland",-0.71
"2021-01-09",5,"Groningen",0.17
"2021-01-09",6,"IJsselmeer",2.54
"2021-01-09",7,"Limburg",-1.66
"2021-01-09",8,"Noord-Brabant",-2.16
"2021-01-09",9,"Noord-Holland",2.68
"2021-01-09",10,"Overijssel",-0.42
"2021-01-09",11,"Utrecht",-0.66
"2021-01-09",12,"Zeeland",-0.69
"2021-01-09",13,"Zeeuwse meren",-0.77
"2021-01-09",14,"Zuid-Holland",-0.37
"2021-01-10",1,"Drenthe",-0.76
"2021-01-10",2,"Flevoland",0.24
"2021-01-10",3,"Friesland",1.3
"2021-01-10",4,"Gelderland",-1.12
"2021-01-10",5,"Groningen",-0.01
"2021-01-10",6,"IJsselmeer",2.24
"2021-01-10",7,"Limburg",-0.73
"2021-01-10",8,"Noord-Brabant",-1.86
"2021-01-10",9,"Noord-Holland",2.41
"2021-01-10",10,"Overijssel",-0.63
"2021-01-10",11,"Utrecht",-1.36
"2021-01-10",12,"Zeeland",0.79
"2021-01-10",13,"Zeeuwse meren",0.63
"2021-01-10",14,"Zuid-Holland",0.01
"2021-01-11",1,"Drenthe",3.82
"2021-01-11",2,"Flevoland",3.96
"2021-01-11",3,"Friesland",5.04
